"msgid","convo","comm","content","inbound","read","tw_sid","tw_status","created","status_cleared"
2,1,1,"Thanks for letting me know, Example User.",FALSE,TRUE,"SM0cb5352be3e74cc185d05ed4322d49a1","sent","2016-03-23 07:19:39.474553+00",TRUE
3,2,2,"Call me",FALSE,TRUE,"SMc38d8167004d4415871d2cabf21f5416","sent","2016-03-23 14:47:00.001782+00",TRUE
35,20,16,"Need a ride",TRUE,FALSE,"SMff936d99e0603acf9ca45d7b6ac37c67","received","2016-03-24 14:47:16.083074+00",TRUE
18,10,9,"New court date 3/29/16 at 0830 hrs",FALSE,TRUE,"SM6d8255daeaca44108ce574304ea7d242","sent","2016-03-23 19:59:29.35076+00",TRUE
65,38,27,"That is impossible.",TRUE,TRUE,"SMe35348b6a1f311b8f24d6d85a8adc27b","received","2016-03-24 21:24:49.845545+00",TRUE
43,25,19,"Ok sry",TRUE,FALSE,"SM264a4bd14bdfa6550d0cf525586d6b1f","received","2016-03-24 15:47:19.089389+00",TRUE
9,5,3,"ua excused",FALSE,TRUE,"SM62d7797690384802a58666fffb9d468a","sent","2016-03-23 15:11:03.502961+00",TRUE
13,7,6,"Helllooooo",FALSE,TRUE,"SMf7aa17de965b4fa3815a0a0ca680fb25","sent","2016-03-23 18:47:35.660163+00",TRUE
7,4,3,"Hi I just wanted to let you know you missed your appt. Please contact me asap to reschedule your appt. Thanks!",FALSE,TRUE,"SM85f609fc475b4303b6cf5c5acec5075e","sent","2016-03-23 15:04:37.6374+00",TRUE
48,29,21,"Hi James make sure your are calling in DAILY to the IVR system. You have missed some call ins. Thank you",FALSE,TRUE,"SMeadb96f36da749a1a0a24210ee9b8f88","sent","2016-03-24 17:02:56.459949+00",TRUE
10,5,3,"Ok thanks",TRUE,TRUE,"SMa4065e777f696c46b9c16712385ebcb3","received","2016-03-23 15:11:18.886199+00",TRUE
14,7,6,"Hi how are you",TRUE,TRUE,"SMdf26756c47e3ea4c4f88d1991c7fb752","received","2016-03-23 18:47:55.314127+00",TRUE
16,9,8,"You missed your appointment ",FALSE,TRUE,"SM8f556ea8caf943568fe88c3d54c22ba4","sent","2016-03-23 19:39:42.790551+00",TRUE
30,16,14,"here we go again..  ",FALSE,TRUE,"SMb790274e748d4c92af709c76cad6a5b9","sent","2016-03-23 21:15:19.847201+00",TRUE
52,31,23,"Hi, you missed our appointment today at 1130. Please contact to reschedule. ",FALSE,TRUE,"SMe5ec97715f6447048907a3c2c8979352","sent","2016-03-24 20:13:14.251703+00",TRUE
55,33,24,"you failed to report to your appointment today at 1pm.  please contact me to schedule a new appt.",FALSE,TRUE,"SMe0960ddc24af48328d754c06a607d93c","sent","2016-03-24 20:27:31.090579+00",TRUE
27,15,14,"This is test message for phone",FALSE,TRUE,"SM56bf2e3375b64e51b894a930ee5b88ba","sent","2016-03-23 21:13:58.989535+00",TRUE
26,14,13,"Ok great see you then!",FALSE,TRUE,"SM9d44ffc406d0470091c6c18111d56723","sent","2016-03-23 20:49:37.089323+00",TRUE
54,32,23,"Can't make group tonight.",TRUE,TRUE,"SMce69464262b0dd277b63e826ae6933dc","received","2016-03-24 20:16:17.019779+00",TRUE
42,25,19,"hey. you missed our appt",FALSE,TRUE,"SM1fc4c470286e40b7b53f01d300d316e1","sent","2016-03-24 15:46:33.988367+00",TRUE
44,26,19,"Need help",TRUE,FALSE,"SM02f10dd6784d0946941f2e7be4c03215","received","2016-03-24 15:48:38.344921+00",TRUE
66,39,27,"Need to schedule spot",TRUE,TRUE,"SMf3cb013873851117664c10dbb79946c5","received","2016-03-24 21:26:21.210478+00",TRUE
53,31,23,"OK, sorry.",TRUE,TRUE,"SM8e349fefc0e7b2a320bb6766938f8611","received","2016-03-24 20:14:30.817976+00",TRUE
22,12,11,"I'm sorry my car broke down and my grandmother died etc",TRUE,FALSE,"SM4a4c4729c92fa11f3147e168aef8f30b","received","2016-03-23 20:15:36.793981+00",TRUE
24,14,13,"Hi Melissa this is Mellissa from probation. I was wondering if you were able to come at 4:00 or 4:15 today instead of 4:30?",FALSE,TRUE,"SM1e3b2009ea5d4b5dba1c36d49ebb2929","sent","2016-03-23 20:43:53.055981+00",TRUE
17,9,8,"Couldn't make it",TRUE,TRUE,"SM0f45cd0b31263444602d54d21ebbbac6","received","2016-03-23 19:40:23.716652+00",TRUE
38,22,17,"Thanks!",TRUE,TRUE,"SM606d30a687410f464359b2cafeee08fa","received","2016-03-24 14:56:27.616063+00",TRUE
1676,532,254,"Boy do I need someone to talk to right now is there a time I can call you?",TRUE,TRUE,"SM877364ffcc6e203bb67e75d4442b5ac0","received","2016-06-08 15:59:55.974651+00",TRUE
1674,535,207,"Okay thanks sounds good",TRUE,TRUE,"SMddde06d36390e67a9f5b12fbb971f5d8","received","2016-06-08 15:51:45.625577+00",TRUE
1671,530,253,"Ok thank you",TRUE,TRUE,"SMa8990ed87b086bb5cb4d793ec8489a5a","received","2016-06-08 15:50:23.74848+00",TRUE
1777,208,139,"I am doing fine. No plm. Thanks",TRUE,TRUE,"SM2dc542b720956b9f52604c4f42829f68","received","2016-06-09 17:37:09.317659+00",TRUE
1780,442,226,"Jo Ann?",TRUE,TRUE,"SM8b3a0ccc4821552f5100461f4783a55f","received","2016-06-09 17:57:44.32807+00",TRUE
4307,1044,575,"checking if this works",FALSE,TRUE,"SMb5e7a51ab0204d05aeed638152ce2d16","sent","2016-07-27 01:46:35.308842+00",TRUE
2281,620,323,"Sorry I missed your call Caroline. I am back in my office for a while if you can call me back. Thank you.",FALSE,TRUE,"SMc395a1e892384d1da44537e538d87660","sent","2016-06-21 18:27:32.16907+00",TRUE
59,35,25,"Die",TRUE,TRUE,"SM001e45bfc3883f73a8352c2eea7cd9e8","received","2016-03-24 21:07:01.769356+00",TRUE
61,37,25,"Car broke need a ride",TRUE,TRUE,"SMbaecd4150bfc45bdd24d3b0ef2d3d49a","received","2016-03-24 21:08:34.003844+00",TRUE
77,45,33,"When?",TRUE,FALSE,"SMae10ef2b254a7402f82a57217a4bf797","received","2016-03-24 22:45:15.801154+00",TRUE
109,75,54,"Elena, this is Matt at CJS. Make sure to put this number in your phone. ",FALSE,TRUE,"SMb4cabf98054841598acd9bb287e46421","sent","2016-03-30 00:06:10.212084+00",TRUE
84,52,38,"Hi Seth, pleas make sure you call me as well if you miss classes.  Why have you missed your classes this week and last week?  ",FALSE,TRUE,"SM487d77bded6b4bd795f31ef0d67a9d03","sent","2016-03-25 17:26:02.511225+00",TRUE
245,127,97,"Remind me when you get back?",FALSE,TRUE,"SM5ce6ac1ce22e4c458804f4076b4178ad","sent","2016-04-11 21:20:42.428209+00",TRUE
89,59,43,"Call me please",TRUE,TRUE,"SMdc1cf5e426af74c1c4677d04b856f0f3","received","2016-03-28 19:14:34.917042+00",TRUE
120,81,60,"Hi this is Jo-Ann",FALSE,TRUE,"SM7ac8d791e33940be80893c4c665df176","sent","2016-03-30 17:55:06.488726+00",TRUE
115,73,52,"See you then!",FALSE,TRUE,"SM4be1afb97edd4d24879c59f01069c8e1","sent","2016-03-30 00:33:46.434218+00",TRUE
76,45,33,"Hey, you missed a UA. ",FALSE,TRUE,"SMbce8c41263cc4aa1b396b9f98b0a66af","sent","2016-03-24 22:44:31.783363+00",TRUE
40,23,18,"Ok",TRUE,TRUE,"SM756d2d871abd7b09fe8a3bd2cf7ee334","received","2016-03-24 15:13:13.803929+00",TRUE
93,64,40,"Nathan, this is Jo Ann from Pretrial. I tried calling earlier. Anyway, this is our new texting app. We cannot accept calls, and you can text back.",FALSE,TRUE,"SM6b36860888e048bcaf5b5d089aac8a48","sent","2016-03-28 21:50:48.07427+00",TRUE
92,63,41,"Terra, I tried calling you earlier. A few times actually. You have court tomorrow and you have not submitted to your first 2 UA tests. Jo Ann, Pretrial",FALSE,TRUE,"SM8f5bca73c5ab4b2683613b3e19e9ce3f","sent","2016-03-28 21:49:24.626883+00",TRUE
101,67,49,"Hey Berg",FALSE,TRUE,"SMcebac00ed94a4bfc8620f332dbe0e237","sent","2016-03-29 17:51:12.963707+00",TRUE
4,2,2,"Ok",TRUE,TRUE,"SM01f56137450d023e27dd6dda7eefae22","received","2016-03-23 14:47:57.724719+00",TRUE
72,42,31,"Ok",TRUE,FALSE,"SM9dd605da494477d095f3afee96c6542a","received","2016-03-24 22:03:35.147718+00",TRUE
71,42,31,"You missed a UA.",FALSE,TRUE,"SM5a6b06fd6a344236b7bc6822a26cfeb5","sent","2016-03-24 22:03:06.095739+00",TRUE
88,58,43,"Call me please",TRUE,TRUE,"SMdc1cf5e426af74c1c4677d04b856f0f3","received","2016-03-28 19:14:34.917042+00",TRUE
247,127,97,"Nevermind I see you will be gone until 4/20. What day and time works best for you?",FALSE,TRUE,"SMdfb1e9d9ec8a465b9e297ecd45ccf3c1","sent","2016-04-11 21:22:05.546152+00",TRUE
80,48,35,"You missed a UA",FALSE,TRUE,"SM53ff9a63bdc1414087a64e1bbdae5fc7","sent","2016-03-24 23:01:22.938278+00",TRUE
114,74,53,"I got it. Thanks!",FALSE,TRUE,"SMe9e2bbfdcb5c43c09e255634b9893e5b","sent","2016-03-30 00:32:55.989614+00",TRUE
121,82,61,"Ali Mowlid, please call IVR 385-468-3533 and TASC 800-699-6799 daily.  If you fail to follow through a warrant COULD be issued.  Call me 385-468-3539",FALSE,TRUE,"SMf7f1841cb481499794392c59ef2cf842","sent","2016-03-30 19:59:31.539569+00",TRUE
113,73,52,"Sweet got it saved! Thank you see you at court tomorrow!",TRUE,TRUE,"SMa35c0943151232f8971ff349ea6c39d2","received","2016-03-30 00:25:18.015737+00",TRUE
96,65,43,"Hi Justin, this is Jo Ann. I figured out what I was doing wrong. Text me back if you get this.",FALSE,TRUE,"SM0a06a47c67d14fc8aaee439dd9fd000f","sent","2016-03-28 21:53:50.500311+00",TRUE
99,63,41,"This past week I got into a program through the shelter called family promisis Ii can pass a ua if I could go in today if it would make any difference",TRUE,TRUE,"SM949a5937c58994c44f60adbdc8aa96f6","received","2016-03-28 22:15:05.334378+00",TRUE
79,47,34,"Hi Alfredo, this is Kristin from Probation.  Not sure if you get texts, but if you do will you call me?",FALSE,TRUE,"SMfa4b116b48d14c31a6bc7882d822ab73","sent","2016-03-24 22:50:26.246004+00",TRUE
106,72,51,"Wyatt, put this number in your phone. This is Matt at CJS.",FALSE,TRUE,"SMcec379e42f274780b9694e799e05e603","sent","2016-03-30 00:04:12.522824+00",TRUE
97,65,43,"Okay what up",TRUE,TRUE,"SM744503ecac2a792fdfe39959b7659271","received","2016-03-28 21:54:49.815124+00",TRUE
103,68,50,"This is Jo Ann with Pretrial",FALSE,TRUE,"SMca233856f1084762849716c3a94070e5","sent","2016-03-29 19:29:55.478324+00",TRUE
74,44,32,"What is up?",FALSE,TRUE,"SM05afcea31a8e4d9cb9d2736ac4537f37","sent","2016-03-24 22:09:16.324717+00",TRUE
95,64,40,"TASC closed at 3pm on weekends and holidays; be there no later than 2:30pm. It's on the business card in case you forget.",FALSE,TRUE,"SMef239591206a45ec9ba2884986a25015","queued","2016-03-28 21:52:54.584808+00",TRUE
108,74,53,"Jonathon, this is Matt at CJS. Make sure to put this number in your phone. ",FALSE,TRUE,"SM71c64c7e66854605a0019655b5b34f69","sent","2016-03-30 00:05:45.076269+00",TRUE
83,51,37,"Please make sure you are checking in daily for Pretrial, you have missed some days. Thank you ",FALSE,TRUE,"SMd08dd6d280b94722bdbf595d5ba1f2bc","sent","2016-03-25 15:20:47.512314+00",TRUE
70,41,30,"What's up",TRUE,TRUE,"SM3b6814f63b22984c3a28c63e1504f901","received","2016-03-24 21:51:30.2178+00",TRUE
112,76,57,"Ok, thanks Matt.",TRUE,TRUE,"SM4107823da3905699cc80431bf90e3b3b","received","2016-03-30 00:09:40.002934+00",TRUE
104,70,55,"Test from CJS ",FALSE,TRUE,"SMeb186ca27c934d1098312bae140904c8","sent","2016-03-29 22:09:41.860985+00",TRUE
86,7,6,"okay well what is the result?",FALSE,TRUE,"SM70f8c3efdcdd4ee88999916ef746a33a","sent","2016-03-25 23:28:12.629229+00",TRUE
117,78,35,"Hi",TRUE,TRUE,"SMdef4630b33e892b24789217c1718af14","received","2016-03-30 00:53:49.438288+00",TRUE
119,80,59,"Hi Jessica please make sure you are calling BOTH #'s DAILY, IVR and TASC you have not called either number.  Thanks PTS. ",FALSE,TRUE,"SMc232c4a9a8ae4dab80d677017fa2c430","sent","2016-03-30 14:53:04.248429+00",TRUE
82,49,35,"I missed court",TRUE,TRUE,"SM8e0899705d91695b421060e0493300a6","received","2016-03-24 23:02:25.807378+00",TRUE
94,64,40,"Anyway, I received your message about missing your UA test. If you make it to today's test and it's clean I will give you a break. ",FALSE,TRUE,"SM3eb2cebbbd034fd3a09132709b603390","sent","2016-03-28 21:51:58.771252+00",TRUE
102,67,49,"Lick my balls",TRUE,TRUE,"SM8d5c5907387e1b0e7f56b929bca7cbef","received","2016-03-29 17:52:01.010848+00",TRUE
85,53,39,"Hi Seth, please call me as well if you will miss classes 3854683539. You missed your classes it appears. ",FALSE,TRUE,"SMe99df9cd4ebd457aa13b39f352e39816","sent","2016-03-25 18:58:17.781877+00",TRUE
75,44,32,"Nada",TRUE,TRUE,"SM08129fecd975bd67ddc649ddca7ed2b3","received","2016-03-24 22:10:46.909404+00",TRUE
107,73,52,"Jessica, this is Matt at CJS. Make sure to put this number in your phone. ",FALSE,TRUE,"SMa012959a31cb49da959be91d4b057606","sent","2016-03-30 00:05:09.474708+00",TRUE
78,46,33,"When is court",TRUE,FALSE,"SM26fe087e3c2dc152715406aea5101285","received","2016-03-24 22:46:32.058901+00",TRUE
122,83,53,"Is SAG at 5 tonight?",TRUE,TRUE,"SMf277e1e579e0c6a7a3c45341953c0cb0","received","2016-03-30 20:22:16.222968+00",TRUE
100,66,48,"Hi, Jose, this is Kristina with County Probation. You missed your first UA yesterday. Please contact me to discuss this. My office is 385-468-3541. Thanks. ",FALSE,TRUE,"SMdc0c2fda4446464ca70720793281d542","sent","2016-03-29 14:58:26.768907+00",TRUE
2278,667,385,"to change our appointment, please call me at 385-468-3578. Thank you and I will see you Thursday.",FALSE,TRUE,"SM9a2426ad134e47c1a5bbb855fba9a21c","sent","2016-06-21 16:29:26.734179+00",TRUE
1498,413,208,"Checking in",TRUE,TRUE,"SM5b21dd39a89375ebd07cce4043a9121d","received","2016-06-02 12:01:32.499974+00",TRUE
3924,980,430,"Sorry, just saw this. Thanks for being here on time today.",FALSE,TRUE,"SM1ee21e46bd1d40f6bcb135bce589a70a","sent","2016-07-20 17:36:43.47116+00",TRUE
1499,474,126,"Hey Matt its Chaz if you can call me back I was seeing if we can reschedual next week because Im starting my new job and I forgot we had an appointment today",TRUE,TRUE,"SM93a5c7ebf699cfab16ee32257b669098","received","2016-06-02 15:08:47.848347+00",TRUE
1458,152,28,"The 7th is when Ill be back I leave the 6th but its a 10 hour drive and I wont be back at a normal hours",TRUE,TRUE,"SM79572ffb3297d6e7206e211bcce24c2e","received","2016-06-01 14:38:02.231369+00",TRUE
162,94,76,"As of March 1st you have checked in 8 times. It's very important that you check in daily. Please don't put me in a position that I have to report to the court.",FALSE,TRUE,"SM6f12cd10efdf4a96aacd4ae73c3bc13f","sent","2016-04-05 21:35:12.832414+00",TRUE
157,90,72,"A 3rd is less than a 2nd. They dropped it a degree. Usually a first time theft is a Class A Misdemeanor, second a 3rd degree felony, third a 2nd degree felony.",FALSE,TRUE,"SMf040ae070c04467bada5a9a9f4c8bc4a","sent","2016-04-05 20:00:08.501749+00",TRUE
142,85,66,"They told me you need to speak with me. If it's about my drug test. I have a prescription for it.",TRUE,TRUE,"SMf234b15b0a4c128e0030efbcd8fed478","received","2016-04-02 20:33:28.640037+00",TRUE
153,85,66,"Hey it's Jeff do I have a warrant ?",TRUE,TRUE,"SMb929c9a06212223f0d83839f299e98d9","received","2016-04-05 19:34:24.844994+00",TRUE
138,62,47,"The alert was for the UA Test you missed. I forgot to erase the alert. Not your fault. That is good you are staying clean. I will check you in for today.",FALSE,TRUE,"SM864848b8398a4702a1b26c388d93b6be","sent","2016-03-31 21:56:20.49181+00",TRUE
143,89,71,"Test test.  ",FALSE,TRUE,"SMdb03dac2a4db40fb8c19bcc91cfb0cf1","queued","2016-04-04 16:07:06.592964+00",TRUE
127,62,47,"Hey it says I. Need to talk to u?",TRUE,TRUE,"SMc1baeae9871976c970fdd94e98787f9e","received","2016-03-31 02:59:04.243307+00",TRUE
141,85,66,"Hey it's Jeff I left you a message I called in today and it sent me to your voicemail",TRUE,TRUE,"SM3bf8fc623f5164a1d328f1094e112990","received","2016-04-02 20:13:38.564635+00",TRUE
125,83,53,"Don't get smart with me",TRUE,TRUE,"SM57273e00265f3a47c0c1646f7f684ca6","received","2016-03-31 00:13:44.737922+00",TRUE
163,94,76,"Just check in daily. Thank You. And remember if there is anything you need or have questions don't hesitate to call...or text. Have a good day.",FALSE,TRUE,"SM796ed82d871b4d2ca8fc2339a2c862b5","sent","2016-04-05 21:36:25.137692+00",TRUE
118,79,58,"Hey its justin we met earlier at 10 Sorry my phones been",TRUE,TRUE,"SM6f5f359302fb4597d64a465016f7f0d1","received","2016-03-30 02:04:55.119438+00",TRUE
1463,463,62,"ha ha OK thanks",TRUE,TRUE,"SM013fa70ecad1a2f6526f8dc7b80a15ac","received","2016-06-01 16:18:01.86184+00",TRUE
145,90,72,"Hid this is Jo Ann from pretrial",FALSE,TRUE,"SM811a21c5341147d59d8e4523241d9f90","sent","2016-04-04 16:39:40.068191+00",TRUE
150,7,6,"I haven't heard back from you - I wanted to check in",FALSE,TRUE,"SM0666b75ab0a24d72b8fc696e957f7853","sent","2016-04-05 00:18:30.592254+00",TRUE
155,60,44,"Please call 385-468-3553 Mon-Friday 6a- 10p, set an alarm on your phone to remember.  I need your address you can email tbennion@slco.org. Thanks Tara",FALSE,TRUE,"SMf8a5270f1fbd4b38b4a591f42d444cb4","sent","2016-04-05 19:48:18.343119+00",TRUE
246,127,97,"The 21st of April",TRUE,TRUE,"SMab601e56f7182c3b017192751d458c24","received","2016-04-11 21:21:07.146808+00",TRUE
167,95,57,"Will you call me? I can't make out bound calls on my phone right now",TRUE,TRUE,"SMd64a969d2e00210d6fc148779a579de1","received","2016-04-05 22:39:47.137317+00",TRUE
165,95,57,"Why weren't you in group?",FALSE,TRUE,"SMba982fe518bc43e488b86e7e2b614cc6","sent","2016-04-05 22:22:13.990211+00",TRUE
132,86,67,"Thank u.",TRUE,TRUE,"SMca92189ba981ad6678e9487481edf238","received","2016-03-31 20:04:48.579377+00",TRUE
161,94,76,"Hi Gabriel, this is Jo Ann from Pretrial. I was doing an update on your case and noticed you haven't been checking in daily; hardly at all. ",FALSE,TRUE,"SM01845ec204f24c7297dcd6360be7c34a","sent","2016-04-05 21:32:09.354602+00",TRUE
130,87,68,"Hi Tyler, my name is Jo Ann and I will be your Pretrial Case Manager. I will be out to get you in just a minute. I look forward to meeting you. ",FALSE,TRUE,"SM2ef945a5213242058f3e403f77a8dbb0","sent","2016-03-31 16:40:17.495067+00",TRUE
149,90,72,"Hey, so when I was arrested it was Theft 2ND degree felony now it's 3rd, why did it change?",TRUE,TRUE,"SM8011c74723703411f6a25be3b91a815c","received","2016-04-04 21:29:10.960345+00",TRUE
123,84,54,"Hey, I might be a little late if that's cool I'm on the bus in traffic.",TRUE,TRUE,"SMf38388e58c37188cecf983d37dbc7df0","received","2016-03-30 22:40:50.518961+00",TRUE
151,91,74,"Hey it's Felipe de la Cruz I'm sorry if it's to late but I accidentally lost the number to tasc to check in if you could send it to me that would be great Thank you.",TRUE,TRUE,"SMa0a0778b319f83f08531857b0ab537ea","received","2016-04-05 04:25:49.265933+00",TRUE
168,95,57,"I spoke to your mom. I'll excuse you tonight because I was informed that you were released from jail today. Tuesday is MRT at 3:30. ",FALSE,TRUE,"SM58b621a939ee4e56b1bac0993cf5292d","sent","2016-04-05 23:45:55.702998+00",TRUE
137,62,47,"The number for TASC is 800-699-6799 and your PIN is 1157. You can also check if you test on the internet at doitest.org it's very simple. ",FALSE,TRUE,"SMae1b4a031f6a48df9a7d9e50faf33a3e","queued","2016-03-31 21:54:24.905282+00",TRUE
135,81,60,"Hi Brandon, I received your email. I don't think I was using this app correctly. If you get this message please write me back. I'm doing right this time :) ",FALSE,TRUE,"SM0f92bafc6e184ed1a07561775192e1c2","sent","2016-03-31 21:47:40.326005+00",TRUE
166,96,55,"",TRUE,TRUE,"MMa2a97f45d3feea143418cc736052a5d0","received","2016-04-05 22:23:26.952536+00",TRUE
154,53,39,"PLease call in DAILY and attend ALL groups and classes.  If you do not have a phone you can email me tbennion@slco.org to check in.   ",FALSE,TRUE,"SM0eaacbed164147fb920bbdb1e11bd476","sent","2016-04-05 19:43:54.656973+00",TRUE
164,94,76,"I got your text thank you for the friendly Reminder. And I will make sure to check in everyday again.",TRUE,TRUE,"SM60691482d561631e4d6112c6f20442fa","received","2016-04-05 21:39:25.059888+00",TRUE
1455,413,208,"Checkin in",TRUE,TRUE,"SM38f9859698daf2349c703cc7310317d5","received","2016-06-01 14:29:48.04976+00",TRUE
158,62,47,"No, I closed your supervision.",FALSE,TRUE,"SM56a450394dd7421e9a95cfd0a240a2f8","sent","2016-04-05 20:09:37.737018+00",TRUE
128,85,66,"This is Jo-Ann, Text if you need anything",FALSE,TRUE,"SMe5bb89d68f5946c29aea654f97643092","sent","2016-03-31 16:13:29.462537+00",TRUE
131,88,69,"Please feel free to text me if it's easier for you. ",FALSE,TRUE,"SM189893316b4b46e1b0cbc2f27762df54","sent","2016-03-31 17:13:20.76734+00",TRUE
2277,667,385,"Mr. Catten, this is Nicole Miller your new probation case manager. You are scheduled for an appointment on 6/23/2016 at 5pm. If you have any questions or need ",FALSE,TRUE,"SM643436278f5a4ffb9fde63347e8e6588","sent","2016-06-21 16:28:46.897675+00",TRUE
1450,319,167,"Is our appointment today",TRUE,TRUE,"SMc0d4803bbd86a6ea38b9a2a2c794e4a4","received","2016-06-01 13:58:48.538824+00",TRUE
1501,357,177,"~ESE CRIMINAL~",TRUE,TRUE,"SMd1937e19d3d62d3175a9593944ceab78","received","2016-06-02 15:31:02.135153+00",TRUE
1508,475,234,"Next appt is set for 7/7/16 at 1200.  Also need SSDI, treatment evaluation and update for it to be a phone appt instead. ",FALSE,TRUE,"SMe299f28e7bf94614925aeba441705079","sent","2016-06-02 18:56:04.730129+00",TRUE
1506,208,139,"I am going good. No plm",TRUE,TRUE,"SMd1ea8c35ffd1a513ac24d1986935ba9d","received","2016-06-02 17:51:38.335292+00",TRUE
1504,354,175,"What time tomorrow?",TRUE,TRUE,"SMf2a76b7c7ef653dbc4d4aad794a31fd5","received","2016-06-02 16:45:02.975198+00",TRUE
1515,479,126,"Lets do next Thursday at 4",TRUE,TRUE,"SMb06e8451a924bb648d33795baed9cd57","received","2016-06-02 19:45:16.974162+00",TRUE
1507,442,226,"Hey Jo Ann just wondering when is our appointment again?  Just want to write it down.",TRUE,TRUE,"SM6487cf51efe38bd02dc4d83de58339a1","received","2016-06-02 18:20:09.844677+00",TRUE
248,127,97,"9am works fine on anyday really😊",TRUE,TRUE,"SM37153411ad1b0c14db76a2c615c0c437","received","2016-04-11 21:23:28.050533+00",TRUE
195,94,76,"Thank you. It makes it easier for the both of use. Have a great day! Jo Ann",FALSE,TRUE,"SMcd40707678654df982bcfad8670403fe","sent","2016-04-06 17:57:22.021566+00",TRUE
152,92,26,"Hey Kristina its Craig I called tasc and it says it cannot read my information?",TRUE,TRUE,"SMa36c6a471ce5e582ffafab411fc129b2","received","2016-04-05 18:21:32.864303+00",TRUE
140,62,47,"I got sentenced and met my officer who is gona test me now do I still have to check in and test for u?",TRUE,TRUE,"SMfa3377f10a30bc028c966199f36ecab7","received","2016-04-02 20:11:05.142774+00",TRUE
159,62,47,"What?",TRUE,TRUE,"SMa01304fe0b21000af17a56adc4eee7de","received","2016-04-05 20:09:53.942169+00",TRUE
188,101,77,"Awesome! Thanks :)",FALSE,TRUE,"SM2f1020cf9f9b461eb7c8b6be935a9883","sent","2016-04-06 16:44:00.771173+00",TRUE
110,74,53,"I just met with my psychologist and he should be sending an update email now",TRUE,TRUE,"SM652c3c847220b523f6bdefc42fc62c8c","received","2016-03-30 00:07:24.850094+00",TRUE
